"hostid";"host";"name"
"13942";"GRA3_SEC";"GRA3_SEC"
"18395";"GRA3-1BPCD1";"GRA3-1BPCD1"
"18396";"GRA3-1BPCP1";"GRA3-1BPCP1"
"18400";"GRA3-1BUPP1";"GRA3-1BUPP1"
"18401";"GRA3-1BUPP2";"GRA3-1BUPP2"
"18402";"GRA3-1BUPP3";"GRA3-1BUPP3"
"18388";"GRA3-1L6CD1";"GRA3-1L6CD1"
"18389";"GRA3-1L6CP1";"GRA3-1L6CP1"
"18386";"GRA3-1L6PA1";"GRA3-1L6PA1"
"18387";"GRA3-1L6PP1";"GRA3-1L6PP1"
"18384";"GRA3-1L7CD1";"GRA3-1L7CD1"
"18385";"GRA3-1L7CP1";"GRA3-1L7CP1"
"18382";"GRA3-1L7PA1";"GRA3-1L7PA1"
"18383";"GRA3-1L7PP1";"GRA3-1L7PP1"
"18380";"GRA3-1L8CD1";"GRA3-1L8CD1"
"18381";"GRA3-1L8CP1";"GRA3-1L8CP1"
"18378";"GRA3-1L8PA1";"GRA3-1L8PA1"
"18379";"GRA3-1L8PP1";"GRA3-1L8PP1"
"18406";"GRA3-1T1CD1";"GRA3-1T1CD1"
"18407";"GRA3-1T1CP1";"GRA3-1T1CP1"
"18398";"GRA3-2BPCD1";"GRA3-2BPCD1"
"18399";"GRA3-2BPCP1";"GRA3-2BPCP1"
"18397";"GRA3-2BPPP2";"GRA3-2BPPP2"
"18403";"GRA3-2BUPP1";"GRA3-2BUPP1"
"18404";"GRA3-2BUPP2";"GRA3-2BUPP2"
"18405";"GRA3-2BUPP3";"GRA3-2BUPP3"
"18393";"GRA3-2L1CD1";"GRA3-2L1CD1"
"18394";"GRA3-2L1CP1";"GRA3-2L1CP1"
"18391";"GRA3-2L1PA1";"GRA3-2L1PA1"
"18392";"GRA3-2L1PP1";"GRA3-2L1PP1"
"18390";"GRA3-2L1PP2";"GRA3-2L1PP2"
"18376";"GRA3-2L4CD1";"GRA3-2L4CD1"
"18377";"GRA3-2L4CP1";"GRA3-2L4CP1"
"18374";"GRA3-2L4PA1";"GRA3-2L4PA1"
"18375";"GRA3-2L4PP1";"GRA3-2L4PP1"
"18373";"GRA3-2L4PP2";"GRA3-2L4PP2"
"18371";"GRA3-2L5CD1";"GRA3-2L5CD1"
"18372";"GRA3-2L5CP1";"GRA3-2L5CP1"
