"Nome","Hostname","IP","Status","Grupo"
"EDD-CGR","EDD-CGR","10.6.16.10","Desabilitado",""
"EDD-NAD","EDD-NAD","10.6.16.11","Desabilitado",""
"EDD-TRN","EDD-TRN","10.6.16.12","Desabilitado",""
"EDD-SCR1","EDD-SCR1","10.6.25.2","Desabilitado",""
"EDD-SCR1-02","EDD-SCR1-02","10.6.25.3","Desabilitado",""
"EDD-UHBC-1","EDD-UHBC-1","10.6.26.10","Desabilitado",""
"EDD-UHBC-2","EDD-UHBC-2","10.6.26.11","Desabilitado",""
"EDD-NSR-230","EDD-NSR-230","10.13.89.12","Desabilitado",""
"EDD-LON","EDD-LON","10.6.32.3","Desabilitado",""
"EDD-ASS","EDD-ASS","10.6.32.4","Desabilitado",""
"EDD-JUP","EDD-JUP","10.6.32.6","Desabilitado",""
"EDD-ARA","EDD-ARA","10.6.32.7","Desabilitado",""
"EDD-IVP","EDD-IVP","10.6.37.20","Desabilitado",""
"EDD-STIV","EDD-STIV","10.6.37.21","Desabilitado",""
"EDD-BNE","EDD-BNE","10.6.41.5","Desabilitado",""
"EDD-JLB","EDD-JLB","10.6.41.7","Desabilitado",""
"EDD-CIA","EDD-CIA","10.13.62.11","Desabilitado",""
"EDD-UMR","EDD-UMR","10.13.62.12","Desabilitado",""
"EDD-GUI","EDD-GUI","10.6.120.10","Desabilitado",""
"EDD-ITQ","EDD-ITQ","10.13.62.14","Desabilitado",""
"EDD-JUT","EDD-JUT","10.13.62.15","Desabilitado",""
"EDD-DOU","EDD-DOU","10.6.42.16","Desabilitado",""
"EDD-DOU-VIVO-G79","EDD-DOU-VIVO-G79","10.13.62.17","Desabilitado",""
"EDD-MGA","EDD-MGA","10.13.62.10","Desabilitado",""
"EDD-QUI","EDD-QUI","10.6.51.10","Desabilitado",""
"EDD-BNE-2","EDD-BNE-2","10.6.56.9","Desabilitado",""
"EDD-SID","EDD-SID","10.6.56.10","Desabilitado",""
"EDD-IJUI2-2","EDD-IJUI2-2","10.6.59.11","Desabilitado",""
"EDD-IJUI2-1","EDD-IJUI2-1","10.6.59.12","Desabilitado",""
"EDD-MGA-2","EDD-MGA-2","10.13.42.20","Desabilitado",""
"EDD-CNO-1","EDD-CNO-1","10.6.64.11","Desabilitado",""
"EDD-MBR","EDD-MBR","10.6.66.7","Desabilitado",""
