"Nome";"IP";"Grupo"
"TEL-GTW-VHF_ITJ_ControlOne";"10.9.71.40";"VHF"
"TEL-GTW-VHF_IRN_ControlOne";"10.9.113.40";"VHF"
"TEL-GTW-VHF_IJU2_ControlOne";"10.9.59.40";"VHF"
"TEL-GTW-VHF_GUO_ControlOne";"10.9.112.40";"VHF"
"TEL-GTW-VHF_GUA_ControlOne";"10.9.120.40";"VHF"
"TEL-GTW-VHF_GRT_ControlOne";"10.9.45.40";"VHF"
"TEL-GTW-VHF_GRA_ControlOne";"10.9.27.40";"VHF"
"TEL-GTW-VHF_GRA3_ControlOne";"10.9.28.40";"VHF"
"TEL-GTW-VHF_FCO_ControlOne";"10.9.39.40";"VHF"
"TEL-GTW-VHF_DOU_ControlOne";"10.9.42.40";"VHF"
"TEL-GTW-VHF_DOU_RBT_ControlOne";"10.9.42.42";"VHF"
"TEL-GTW-VHF_DOU_MAR_ControlOne";"10.9.42.41";"VHF"
"TEL-GTW-VHF_CNO_ControlOne";"10.9.64.40";"VHF"
"TEL-GTW-VHF_CMO_ControlOne";"10.9.62.40";"VHF"
"TEL-GTW-VHF_CGR_ControlOne";"10.9.16.40";"VHF"
"TEL-GTW-VHF_CCH_ControlOne";"10.9.68.40";"VHF"
"TEL-GTW-VHF_CBA_ControlOne";"10.9.19.40";"VHF"
"TEL-GTW-VHF_CAX_ControlOne";"10.9.70.40";"VHF"
"TEL-GTW-VHF_CAX6_ControlOne";"10.2.85.40";"VHF"
"TEL-GTW-VHF_CAX5_ControlOne";"10.9.88.40";"VHF"
"TEL-GTW-VHF_CAN_ControlOne";"10.9.61.40";"VHF"
"TEL-GTW-VHF_CAM3_ControlOne";"10.9.47.40";"VHF"
"TEL-GTW-VHF_BLU_ControlOne";"10.9.65.40";"VHF"
"TEL-GTW-VHF_BIG_ControlOne";"10.9.29.40";"VHF"
"TEL-GTW-VHF_ATL2_ControlOne";"10.9.94.40";"VHF"
"TEL-GTW-VHF_ARE_ControlOne";"10.9.33.40";"VHF"
"TEL-GTW-VHF_ANA_ControlOne";"10.9.91.40";"VHF"
"TEL-GTW-VHF_ACL_ControlOne";"10.9.16.41";"VHF"
"TEL-GTW-VHF_PNO_ControlOne";"10.9.53.40";"VHF"
"TEL-GTW-VHF_SDI_ControlOne";"10.9.118.40";"VHF"
